"producto_marca","producto_url","producto_precio","producto_precio_url","producto_especificaciones","producto_especificaciones_url"
"CAROLINA HERRERA","https://www.falabella.com.co/falabella-co/product/73273735/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-Good-Girl-Blush-EDP-80ml,-locion-Good-Girl-100ml,-Perfume-Good-Girl-Blush-EDP-10ml/73273735?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_x1p-GRWzYIzqg5tquAkmgE58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZzhrN2HDbef9-eyihuaXPxhKgmn8rJWXZLhHS3nXnM0c7T7-_Y8Alhxo3VE9V8vPFvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 699.000","https://www.falabella.com.co/falabella-co/product/73273735/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-Good-Girl-Blush-EDP-80ml,-locion-Good-Girl-100ml,-Perfume-Good-Girl-Blush-EDP-10ml/73273735?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_x1p-GRWzYIzqg5tquAkmgE58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZzhrN2HDbef9-eyihuaXPxhKgmn8rJWXZLhHS3nXnM0c7T7-_Y8Alhxo3VE9V8vPFvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Set de Perfume Mujer Perfume Good Girl Blush EDP 80ml, loción Good Girl 100ml, Perfume Good Girl Blush EDP 10ml","https://www.falabella.com.co/falabella-co/product/73273735/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-Good-Girl-Blush-EDP-80ml,-locion-Good-Girl-100ml,-Perfume-Good-Girl-Blush-EDP-10ml/73273735?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_x1p-GRWzYIzqg5tquAkmgE58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZzhrN2HDbef9-eyihuaXPxhKgmn8rJWXZLhHS3nXnM0c7T7-_Y8Alhxo3VE9V8vPFvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
"JEAN PAUL GAULTIER","https://www.falabella.com.co/falabella-co/product/32229818/Perfume-de-Hombre-Jean-Paul-Gaultier-Le-Male-Intense-200-ml-EDP/32229818","$ 769.000","https://www.falabella.com.co/falabella-co/product/32229818/Perfume-de-Hombre-Jean-Paul-Gaultier-Le-Male-Intense-200-ml-EDP/32229818","Perfume de Hombre Le Male Intense 200 ml EDP","https://www.falabella.com.co/falabella-co/product/32229818/Perfume-de-Hombre-Jean-Paul-Gaultier-Le-Male-Intense-200-ml-EDP/32229818"
"CAROLINA HERRERA","https://www.falabella.com.co/falabella-co/product/2082460/Perfume-Carolina-Herrera-Mujer-CH-EDT-30-ml/2082460","$ 179.900","https://www.falabella.com.co/falabella-co/product/2082460/Perfume-Carolina-Herrera-Mujer-CH-EDT-30-ml/2082460","Perfume Mujer CH EDT 30 ml","https://www.falabella.com.co/falabella-co/product/2082460/Perfume-Carolina-Herrera-Mujer-CH-EDT-30-ml/2082460"
"ARMANI","https://www.falabella.com.co/falabella-co/product/1474674/Perfume-Mujer-Armani-Acqua-Di-Gioa-30-ml-EDP/1474674","$ 149.990","https://www.falabella.com.co/falabella-co/product/1474674/Perfume-Mujer-Armani-Acqua-Di-Gioa-30-ml-EDP/1474674","Perfume Mujer Acqua Di Gioa 30 ml EDP","https://www.falabella.com.co/falabella-co/product/1474674/Perfume-Mujer-Armani-Acqua-Di-Gioa-30-ml-EDP/1474674"
"RABANNE","https://www.falabella.com.co/falabella-co/product/3827761/Perfume-Rabanne-Hombre-1-Million-200ml-EDT/3827761","$ 659.900","https://www.falabella.com.co/falabella-co/product/3827761/Perfume-Rabanne-Hombre-1-Million-200ml-EDT/3827761","Perfume Hombre 1 Million 200ml EDT","https://www.falabella.com.co/falabella-co/product/3827761/Perfume-Rabanne-Hombre-1-Million-200ml-EDT/3827761"
"CAROLINA HERRERA","https://www.falabella.com.co/falabella-co/product/42160440/Perfume-Hombre-Carolina-Herrera-212-Men-100-Ml-EDT/42160440","$ 487.000","https://www.falabella.com.co/falabella-co/product/42160440/Perfume-Hombre-Carolina-Herrera-212-Men-100-Ml-EDT/42160440","Perfume Hombre 212 Men 100 Ml EDT","https://www.falabella.com.co/falabella-co/product/42160440/Perfume-Hombre-Carolina-Herrera-212-Men-100-Ml-EDT/42160440"
"MOSCHINO","https://www.falabella.com.co/falabella-co/product/72885486/Perfume-Moschino-Gold-Fresh-Couture-Mujer-100-ml-EDP/72885486","$ 239.900","https://www.falabella.com.co/falabella-co/product/72885486/Perfume-Moschino-Gold-Fresh-Couture-Mujer-100-ml-EDP/72885486","Perfume Gold Fresh Couture Mujer 100 ml EDP","https://www.falabella.com.co/falabella-co/product/72885486/Perfume-Moschino-Gold-Fresh-Couture-Mujer-100-ml-EDP/72885486"
"CAROLINA HERRERA","https://www.falabella.com.co/falabella-co/product/3827758/Perfume-Carolina-Herrera-Hombre-212-NYC-200-ml-EDT/3827758","$ 649.900","https://www.falabella.com.co/falabella-co/product/3827758/Perfume-Carolina-Herrera-Hombre-212-NYC-200-ml-EDT/3827758","Perfume Hombre 212 NYC 200 ml EDT","https://www.falabella.com.co/falabella-co/product/3827758/Perfume-Carolina-Herrera-Hombre-212-NYC-200-ml-EDT/3827758"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","$ 193.000","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","Perfume Badee Al Oud Sublime 100ml","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583"
"JEAN PAUL GAULTIER","https://www.falabella.com.co/falabella-co/product/69667444/Perfume-Masculino-Jean-Paul-Gaultier-Le-Male-Elixir-75-ml-Edp/69667444","$ 427.000","https://www.falabella.com.co/falabella-co/product/69667444/Perfume-Masculino-Jean-Paul-Gaultier-Le-Male-Elixir-75-ml-Edp/69667444","Perfume Masculino Le Male Elixir 75 ml Edp","https://www.falabella.com.co/falabella-co/product/69667444/Perfume-Masculino-Jean-Paul-Gaultier-Le-Male-Elixir-75-ml-Edp/69667444"
