"producto_name","producto_url","producto_especificaciones","producto_especificaciones_url","producto_vendido_por","producto_vendido_por_url","producto_precio_descuento","producto_precio_descuento_url","producto_precio_con_oferta","producto_precio_con_oferta_url","producto_precio_sin_oferta","producto_precio_sin_oferta_url","producto_promocion_blackdays","producto_promocion_blackdays_url","producto_referencias","producto_referencias_url","producto_descuento","producto_descuento_url","producto_tiempo_llegada","producto_tiempo_llegada_url","producto_envios_gratis","producto_envios_gratis_url"
"MOSCHINO","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","Perfume Toy 2 Mujer 100 ml EDP","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","Por Falabella","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","$ 269.900","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","$ 309.990","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","$ 519.990","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","Black Days","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","(10)","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","-48%","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","Llega mañana","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","",""
"VERSACE","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","Perfume Eros Flame Hombre 200 ml EDP","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","Por Falabella","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","$ 469.990","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","$ 554.990","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","$ 932.990","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","Black Days","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","(116)","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","-50%","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","Llega mañana","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","",""
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","Perfume Badee Al Oud Amethyst 100ml","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","$ 173.700","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","$ 193.000","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","$ 339.000","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","Black Days","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","(182)","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","-49%","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","Llega mañana","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","Envío gratis","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406"
"LANCOME","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","Perfume La Vie Est Belle Mujer 30 ml EDP","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","Por Falabella","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","","","$ 184.990","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","$ 249.990","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","Black Days","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","(828)","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","-26%","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","Llega mañana","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","",""
"LATTAFA","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","Perfume Eclaire 100ML","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","$ 188.100","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","$ 209.000","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","$ 420.000","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","Black Days","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","(12)","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","-55%","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","","","Envío gratis","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085"
"ARMANI","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","Perfume Hombre Aqua Di Gio 200 ml EDT","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","Por Falabella","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","","","$ 529.990","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","$ 999.990","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","","","(239)","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","-47%","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","Llega mañana","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","",""
"DOLCE&GABBANA","https://www.falabella.com.co/falabella-co/product/73053967/Set-de-Perfume-Mujer-Dolce-Gabbana-Incluye:3-Productos-/73053967","Set de Perfume Mujer Dolce & Gabbana Incluye:3 Productos","https://www.falabella.com.co/falabella-co/product/73053967/Set-de-Perfume-Mujer-Dolce-Gabbana-Incluye:3-Productos-/73053967","Por Falabella","https://www.falabella.com.co/falabella-co/product/73053967/Set-de-Perfume-Mujer-Dolce-Gabbana-Incluye:3-Productos-/73053967","","","$ 469.990","https://www.falabella.com.co/falabella-co/product/73053967/Set-de-Perfume-Mujer-Dolce-Gabbana-Incluye:3-Productos-/73053967","","","","","","","","","Llega mañana","https://www.falabella.com.co/falabella-co/product/73053967/Set-de-Perfume-Mujer-Dolce-Gabbana-Incluye:3-Productos-/73053967","",""
"LATTAFA","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","Perfume Asad 100ml","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","$ 170.100","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","$ 189.000","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","$ 330.000","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","Black Days","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","(83)","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","-48%","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","Llega mañana","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","Envío gratis","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344"
"CHANEL","https://www.falabella.com.co/falabella-co/product/prod13850110/CHANEL-CHANCE-EAU-SPLENDIDE-EAU-DE-PARFUM/73264519","CHANCE EAU SPLENDIDE EAU DE PARFUM","https://www.falabella.com.co/falabella-co/product/prod13850110/CHANEL-CHANCE-EAU-SPLENDIDE-EAU-DE-PARFUM/73264519","Por Falabella","https://www.falabella.com.co/falabella-co/product/prod13850110/CHANEL-CHANCE-EAU-SPLENDIDE-EAU-DE-PARFUM/73264519","","","$ 771.000 - $ 949.000","https://www.falabella.com.co/falabella-co/product/prod13850110/CHANEL-CHANCE-EAU-SPLENDIDE-EAU-DE-PARFUM/73264519","","","","","","","","","Llega mañana","https://www.falabella.com.co/falabella-co/product/prod13850110/CHANEL-CHANCE-EAU-SPLENDIDE-EAU-DE-PARFUM/73264519","",""
"CHANEL","https://www.falabella.com.co/falabella-co/product/prod11330060/BLEU-DE-CHANEL-Parfum/3526166","BLEU DE Parfum","https://www.falabella.com.co/falabella-co/product/prod11330060/BLEU-DE-CHANEL-Parfum/3526166","Por Falabella","https://www.falabella.com.co/falabella-co/product/prod11330060/BLEU-DE-CHANEL-Parfum/3526166","","","$ 890.000 - $ 1.267.000","https://www.falabella.com.co/falabella-co/product/prod11330060/BLEU-DE-CHANEL-Parfum/3526166","","","","","(8)","https://www.falabella.com.co/falabella-co/product/prod11330060/BLEU-DE-CHANEL-Parfum/3526166","","","Llega mañana","https://www.falabella.com.co/falabella-co/product/prod11330060/BLEU-DE-CHANEL-Parfum/3526166","",""
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","Perfume Badee Al Oud Sublime 100ml","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","$ 170.100","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","$ 189.000","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","$ 420.000","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","Black Days","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","(100)","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","-60%","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","Llega mañana","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583","Envío gratis","https://www.falabella.com.co/falabella-co/product/123834581/Perfume-Badee-Al-Oud-Sublime-100ml/123834583"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","Perfume Oud For Glory 100ml","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","$ 179.000","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","$ 186.000","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","$ 330.000","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","Black Days","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","(205)","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","-46%","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","Llega mañana","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","Envío gratis","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375"
